Original_column_name,Cleaned_column_name,Type,Range,Required,Remarks
Not provided,dataset_name,character,,TRUE,
Individual_ID,individual_id,character,,TRUE,
Number_of_individuals,number_of_individuals,integer,,TRUE,
Plot_ID,plot_id,character,,TRUE,
Plot_Treatment_ID,plot_treatment_id,character,,TRUE,
Individual_Treatment_ID,individual_treatment_id,character,,TRUE,
Genus,genus,character,,TRUE,
Specific_epithet,specific_epithet,character,,TRUE,
Plant social status,plant_social_status,character,options: dominant; codominant; suppressed,FALSE,
Average height (m),average_height_m,numeric,,FALSE,
Average DBH (cm),average_dbh_cm,numeric,,FALSE,
Leaf area index (m2/m2),leaf_area_index_m2_m2,numeric,,FALSE,
Remarks,remarks,character,,FALSE,
