Original_column_name,Cleaned_column_name,Type,Range,Required,Remarks
Not provided,dataset_name,character,,TRUE,
Individual_ID,individual_id,character,,,
Plot_ID,plot_id,character,,TRUE,
Date,date,integer,range: 19900101:20250101,TRUE,
Time,time,character,time,TRUE,
SWC_mean_shallow,swc_mean_shallow,numeric,,,
SWC_sd_shallow,swc_sd_shallow,numeric,,,
SWC_n_shallow,swc_n_shallow,integer,,,
SWC_mean_deep,swc_mean_deep,numeric,,,
SWC_sd_deep,swc_sd_deep,numeric,,,
SWC_n_deep,swc_n_deep,integer,,,
SWP_mean_shallow,swp_mean_shallow,numeric,,,
SWP_sd_shallow,swp_sd_shallow,numeric,,,
SWP_n_shallow,swp_n_shallow,integer,,,
SWP_mean_deep,swp_mean_deep,numeric,,,
SWP_sd_deep,swp_sd_deep,numeric,,,
SWP_n_deep,swp_n_deep,integer,,,
